tax_transaction_id,order_id,transaction_date,destination_country,tax_type,taxable_amount,tax_rate,tax_amount,currency
DUTY-ORD-1042,ORD-1042,2024-10-15,AU,DUTY,101.96000000000001,0.05,5.1,AUD
TAX-ORD-1043,ORD-1043,2024-10-27,FR,VAT,235.82,0.2,47.16,EUR
DUTY-ORD-1043,ORD-1043,2024-10-27,FR,DUTY,235.82,0.05,11.79,EUR
TAX-ORD-1044,ORD-1044,2024-10-12,DE,VAT,59.36,0.19,11.28,EUR
TAX-ORD-1045,ORD-1045,2024-11-03,UK,VAT,367.55,0.2,73.51,GBP
DUTY-ORD-1045,ORD-1045,2024-11-03,UK,DUTY,367.55,0.08,29.4,GBP
TAX-ORD-1046,ORD-1046,2024-12-28,CA,VAT,383.01,0.13,49.79,CAD
DUTY-ORD-1046,ORD-1046,2024-12-28,CA,DUTY,383.01,0.12,45.96,CAD
TAX-ORD-1047,ORD-1047,2024-11-16,DE,VAT,371.72,0.19,70.63,EUR
TAX-ORD-1048,ORD-1048,2024-10-14,CA,VAT,399.26,0.13,51.9,CAD
DUTY-ORD-1048,ORD-1048,2024-10-14,CA,DUTY,399.26,0.08,31.94,CAD
TAX-ORD-1049,ORD-1049,2024-10-21,DE,VAT,446.64,0.19,84.86,EUR
DUTY-ORD-1049,ORD-1049,2024-10-21,DE,DUTY,446.64,0.05,22.33,EUR
TAX-ORD-1050,ORD-1050,2024-11-22,FR,VAT,352.60999999999996,0.2,70.52,EUR
DUTY-ORD-1050,ORD-1050,2024-11-22,FR,DUTY,352.60999999999996,0.12,42.31,EUR
TAX-ORD-1051,ORD-1051,2024-11-18,FR,VAT,120.08,0.2,24.02,EUR
TAX-ORD-1053,ORD-1053,2024-11-05,CA,VAT,302.40999999999997,0.13,39.31,CAD
TAX-ORD-1054,ORD-1054,2024-11-03,JP,VAT,169.46,0.1,16.95,JPY
DUTY-ORD-1054,ORD-1054,2024-11-03,JP,DUTY,169.46,0.08,13.56,JPY
TAX-ORD-1055,ORD-1055,2024-11-10,JP,VAT,91.84,0.1,9.18,JPY
TAX-ORD-1056,ORD-1056,2024-10-01,DE,VAT,323.17999999999995,0.19,61.4,EUR
TAX-ORD-1057,ORD-1057,2024-12-25,CA,VAT,348.52,0.13,45.31,CAD
DUTY-ORD-1057,ORD-1057,2024-12-25,CA,DUTY,348.52,0.12,41.82,CAD
TAX-ORD-1058,ORD-1058,2024-11-09,UK,VAT,327.37,0.2,65.47,GBP
DUTY-ORD-1058,ORD-1058,2024-11-09,UK,DUTY,327.37,0.05,16.37,GBP
TAX-ORD-1059,ORD-1059,2024-11-18,FR,VAT,277.93,0.2,55.59,EUR
DUTY-ORD-1059,ORD-1059,2024-11-18,FR,DUTY,277.93,0.05,13.9,EUR
TAX-ORD-1060,ORD-1060,2024-11-08,UK,VAT,264.34000000000003,0.2,52.87,GBP
DUTY-ORD-1060,ORD-1060,2024-11-08,UK,DUTY,264.34000000000003,0.08,21.15,GBP
TAX-ORD-1061,ORD-1061,2024-10-28,DE,VAT,433.73,0.19,82.41,EUR
DUTY-ORD-1061,ORD-1061,2024-10-28,DE,DUTY,433.73,0.05,21.69,EUR
TAX-ORD-1062,ORD-1062,2024-12-24,UK,VAT,376.46000000000004,0.2,75.29,GBP
DUTY-ORD-1062,ORD-1062,2024-12-24,UK,DUTY,376.46000000000004,0.08,30.12,GBP
TAX-ORD-1063,ORD-1063,2024-10-26,US,VAT,492.77,0.08,39.42,USD
TAX-ORD-1064,ORD-1064,2024-12-13,AU,VAT,245.22000000000003,0.1,24.52,AUD
DUTY-ORD-1064,ORD-1064,2024-12-13,AU,DUTY,245.22000000000003,0.12,29.43,AUD
TAX-ORD-1065,ORD-1065,2024-10-14,US,VAT,329.48,0.08,26.36,USD
TAX-ORD-1066,ORD-1066,2024-10-16,DE,VAT,297.85,0.19,56.59,EUR
DUTY-ORD-1066,ORD-1066,2024-10-16,DE,DUTY,297.85,0.08,23.83,EUR
TAX-ORD-1067,ORD-1067,2024-12-18,FR,VAT,193.62,0.2,38.72,EUR
DUTY-ORD-1067,ORD-1067,2024-12-18,FR,DUTY,193.62,0.05,9.68,EUR
TAX-ORD-1068,ORD-1068,2024-11-30,DE,VAT,363.75,0.19,69.11,EUR
TAX-ORD-1069,ORD-1069,2024-12-20,UK,VAT,333.99,0.2,66.8,GBP
DUTY-ORD-1069,ORD-1069,2024-12-20,UK,DUTY,333.99,0.12,40.08,GBP
TAX-ORD-1070,ORD-1070,2024-12-09,US,VAT,200.13,0.08,16.01,USD
TAX-ORD-1071,ORD-1071,2024-11-22,UK,VAT,62.419999999999995,0.2,12.48,GBP
DUTY-ORD-1071,ORD-1071,2024-11-22,UK,DUTY,62.419999999999995,0.05,3.12,GBP
TAX-ORD-1072,ORD-1072,2024-12-29,FR,VAT,247.25,0.2,49.45,EUR
DUTY-ORD-1072,ORD-1072,2024-12-29,FR,DUTY,247.25,0.12,29.67,EUR
TAX-ORD-1073,ORD-1073,2024-11-19,JP,VAT,214.7,0.1,21.47,JPY
DUTY-ORD-1073,ORD-1073,2024-11-19,JP,DUTY,214.7,0.08,17.18,JPY
TAX-ORD-1074,ORD-1074,2024-12-02,UK,VAT,284.49,0.2,56.9,GBP
DUTY-ORD-1074,ORD-1074,2024-12-02,UK,DUTY,284.49,0.05,14.22,GBP
TAX-ORD-1075,ORD-1075,2024-10-17,CA,VAT,458.12,0.13,59.56,CAD
TAX-ORD-1076,ORD-1076,2024-11-29,US,VAT,157.85,0.08,12.63,USD
TAX-ORD-1077,ORD-1077,2024-11-18,JP,VAT,239.7,0.1,23.97,JPY
TAX-ORD-1078,ORD-1078,2024-10-07,UK,VAT,342.56,0.2,68.51,GBP
TAX-ORD-1079,ORD-1079,2024-10-26,CA,VAT,125.88,0.13,16.36,CAD
TAX-ORD-1080,ORD-1080,2024-10-28,US,VAT,216.0,0.08,17.28,USD
TAX-ORD-1081,ORD-1081,2024-11-09,US,VAT,152.3,0.08,12.18,USD
TAX-ORD-1082,ORD-1082,2024-10-10,DE,VAT,135.39,0.19,25.72,EUR
DUTY-ORD-1082,ORD-1082,2024-10-10,DE,DUTY,135.39,0.12,16.25,EUR
TAX-ORD-1083,ORD-1083,2024-10-16,CA,VAT,54.78,0.13,7.12,CAD
DUTY-ORD-1083,ORD-1083,2024-10-16,CA,DUTY,54.78,0.05,2.74,CAD
TAX-ORD-1084,ORD-1084,2024-12-22,DE,VAT,420.05,0.19,79.81,EUR
TAX-ORD-1085,ORD-1085,2024-11-28,UK,VAT,323.17999999999995,0.2,64.64,GBP
TAX-ORD-1086,ORD-1086,2024-12-01,DE,VAT,269.12,0.19,51.13,EUR
TAX-ORD-1087,ORD-1087,2024-10-12,UK,VAT,310.16999999999996,0.2,62.03,GBP
DUTY-ORD-1087,ORD-1087,2024-10-12,UK,DUTY,310.16999999999996,0.08,24.81,GBP
TAX-ORD-1088,ORD-1088,2024-11-11,US,VAT,347.66999999999996,0.08,27.81,USD
TAX-ORD-1089,ORD-1089,2024-11-05,CA,VAT,122.38,0.13,15.91,CAD
DUTY-ORD-1089,ORD-1089,2024-11-05,CA,DUTY,122.38,0.05,6.12,CAD
TAX-ORD-1090,ORD-1090,2024-10-31,CA,VAT,270.87,0.13,35.21,CAD
DUTY-ORD-1090,ORD-1090,2024-10-31,CA,DUTY,270.87,0.12,32.5,CAD
TAX-ORD-1091,ORD-1091,2024-12-28,AU,VAT,183.65,0.1,18.37,AUD
DUTY-ORD-1091,ORD-1091,2024-12-28,AU,DUTY,183.65,0.08,14.69,AUD
TAX-ORD-1092,ORD-1092,2024-11-12,UK,VAT,169.17999999999998,0.2,33.84,GBP
DUTY-ORD-1092,ORD-1092,2024-11-12,UK,DUTY,169.17999999999998,0.08,13.53,GBP
TAX-ORD-1093,ORD-1093,2024-10-16,JP,VAT,324.51,0.1,32.45,JPY
DUTY-ORD-1093,ORD-1093,2024-10-16,JP,DUTY,324.51,0.12,38.94,JPY
TAX-ORD-1094,ORD-1094,2024-12-15,CA,VAT,177.35,0.13,23.06,CAD
TAX-ORD-1095,ORD-1095,2024-11-16,US,VAT,246.81,0.08,19.74,USD
TAX-ORD-1096,ORD-1096,2024-11-07,US,VAT,352.65,0.08,28.21,USD
TAX-ORD-1097,ORD-1097,2024-11-06,UK,VAT,132.96,0.2,26.59,GBP
TAX-ORD-1098,ORD-1098,2024-10-15,UK,VAT,83.34,0.2,16.67,GBP
DUTY-ORD-1098,ORD-1098,2024-10-15,UK,DUTY,83.34,0.05,4.17,GBP
TAX-ORD-1099,ORD-1099,2024-11-08,US,VAT,240.9,0.08,19.27,USD
TAX-ORD-1101,ORD-1101,2024-11-09,US,VAT,482.05,0.08,38.56,USD
TAX-ORD-1102,ORD-1102,2024-10-28,US,VAT,157.94,0.08,12.64,USD
TAX-ORD-1103,ORD-1103,2024-12-28,US,VAT,131.04,0.08,10.48,USD
TAX-ORD-1104,ORD-1104,2024-12-27,US,VAT,365.45,0.08,29.24,USD
TAX-ORD-1105,ORD-1105,2024-12-22,US,VAT,114.01,0.08,9.12,USD
TAX-ORD-1106,ORD-1106,2024-12-12,UK,VAT,221.77000000000004,0.2,44.35,GBP
TAX-ORD-1107,ORD-1107,2024-12-04,UK,VAT,255.3,0.2,51.06,GBP
DUTY-ORD-1107,ORD-1107,2024-12-04,UK,DUTY,255.3,0.08,20.42,GBP
TAX-ORD-1108,ORD-1108,2024-10-04,JP,VAT,426.18,0.1,42.62,JPY
DUTY-ORD-1108,ORD-1108,2024-10-04,JP,DUTY,426.18,0.08,34.09,JPY
TAX-ORD-1109,ORD-1109,2024-11-04,DE,VAT,103.07000000000001,0.19,19.58,EUR
DUTY-ORD-1109,ORD-1109,2024-11-04,DE,DUTY,103.07000000000001,0.08,8.25,EUR
TAX-ORD-1110,ORD-1110,2024-12-14,DE,VAT,388.86,0.19,73.88,EUR
DUTY-ORD-1110,ORD-1110,2024-12-14,DE,DUTY,388.86,0.12,46.66,EUR
TAX-ORD-1111,ORD-1111,2024-12-25,US,VAT,188.19,0.08,15.06,USD
TAX-ORD-1112,ORD-1112,2024-12-10,US,VAT,163.58,0.08,13.09,USD
TAX-ORD-1113,ORD-1113,2024-12-05,US,VAT,352.98,0.08,28.24,USD
TAX-ORD-1114,ORD-1114,2024-11-16,UK,VAT,248.92,0.2,49.78,GBP
TAX-ORD-1115,ORD-1115,2024-11-06,AU,VAT,94.18,0.1,9.42,AUD
TAX-ORD-1116,ORD-1116,2024-10-02,US,VAT,496.52,0.08,39.72,USD
TAX-ORD-1117,ORD-1117,2024-10-20,AU,VAT,237.14000000000001,0.1,23.71,AUD
TAX-ORD-1118,ORD-1118,2024-11-30,CA,VAT,200.35000000000002,0.13,26.05,CAD
TAX-ORD-1119,ORD-1119,2024-11-23,DE,VAT,170.23,0.19,32.34,EUR
DUTY-ORD-1119,ORD-1119,2024-11-23,DE,DUTY,170.23,0.05,8.51,EUR
TAX-ORD-1120,ORD-1120,2024-12-15,AU,VAT,351.5,0.1,35.15,AUD
DUTY-ORD-1120,ORD-1120,2024-12-15,AU,DUTY,351.5,0.05,17.57,AUD
TAX-ORD-1121,ORD-1121,2024-12-10,UK,VAT,422.79999999999995,0.2,84.56,GBP
DUTY-ORD-1121,ORD-1121,2024-12-10,UK,DUTY,422.79999999999995,0.08,33.82,GBP
TAX-ORD-1122,ORD-1122,2024-11-19,DE,VAT,55.71,0.19,10.58,EUR
DUTY-ORD-1122,ORD-1122,2024-11-19,DE,DUTY,55.71,0.08,4.46,EUR
TAX-ORD-1123,ORD-1123,2024-11-19,DE,VAT,309.07000000000005,0.19,58.72,EUR
DUTY-ORD-1123,ORD-1123,2024-11-19,DE,DUTY,309.07000000000005,0.12,37.09,EUR
TAX-ORD-1124,ORD-1124,2024-12-04,UK,VAT,76.13,0.2,15.23,GBP
DUTY-ORD-1124,ORD-1124,2024-12-04,UK,DUTY,76.13,0.08,6.09,GBP
TAX-ORD-1125,ORD-1125,2024-10-02,UK,VAT,310.19,0.2,62.04,GBP
TAX-ORD-1126,ORD-1126,2024-11-03,AU,VAT,291.07,0.1,29.11,AUD
DUTY-ORD-1126,ORD-1126,2024-11-03,AU,DUTY,291.07,0.08,23.29,AUD
TAX-ORD-1127,ORD-1127,2024-11-18,CA,VAT,359.48,0.13,46.73,CAD
DUTY-ORD-1127,ORD-1127,2024-11-18,CA,DUTY,359.48,0.08,28.76,CAD
TAX-ORD-1128,ORD-1128,2024-10-09,AU,VAT,161.39,0.1,16.14,AUD
DUTY-ORD-1128,ORD-1128,2024-10-09,AU,DUTY,161.39,0.05,8.07,AUD
TAX-ORD-1129,ORD-1129,2024-10-13,AU,VAT,85.71000000000001,0.1,8.57,AUD
TAX-ORD-1130,ORD-1130,2024-10-06,US,VAT,169.05,0.08,13.52,USD
TAX-ORD-1131,ORD-1131,2024-12-12,US,VAT,103.02,0.08,8.24,USD
TAX-ORD-1132,ORD-1132,2024-12-14,UK,VAT,139.64999999999998,0.2,27.93,GBP
DUTY-ORD-1132,ORD-1132,2024-12-14,UK,DUTY,139.64999999999998,0.12,16.76,GBP
TAX-ORD-1134,ORD-1134,2024-11-08,UK,VAT,138.16,0.2,27.63,GBP
DUTY-ORD-1134,ORD-1134,2024-11-08,UK,DUTY,138.16,0.12,16.58,GBP
TAX-ORD-1135,ORD-1135,2024-12-01,UK,VAT,179.8,0.2,35.96,GBP
DUTY-ORD-1135,ORD-1135,2024-12-01,UK,DUTY,179.8,0.12,21.58,GBP
TAX-ORD-1136,ORD-1136,2024-12-24,US,VAT,439.28,0.08,35.14,USD
TAX-ORD-1137,ORD-1137,2024-11-06,US,VAT,369.78,0.08,29.58,USD
TAX-ORD-1138,ORD-1138,2024-12-26,DE,VAT,320.74,0.19,60.94,EUR
DUTY-ORD-1138,ORD-1138,2024-12-26,DE,DUTY,320.74,0.08,25.66,EUR
TAX-ORD-1139,ORD-1139,2024-12-22,DE,VAT,55.260000000000005,0.19,10.5,EUR
DUTY-ORD-1139,ORD-1139,2024-12-22,DE,DUTY,55.260000000000005,0.12,6.63,EUR
TAX-ORD-1140,ORD-1140,2024-11-07,UK,VAT,119.31000000000002,0.2,23.86,GBP
DUTY-ORD-1140,ORD-1140,2024-11-07,UK,DUTY,119.31000000000002,0.12,14.32,GBP
TAX-ORD-1141,ORD-1141,2024-10-22,DE,VAT,226.80999999999997,0.19,43.09,EUR
DUTY-ORD-1141,ORD-1141,2024-10-22,DE,DUTY,226.80999999999997,0.12,27.22,EUR
TAX-ORD-1142,ORD-1142,2024-10-15,US,VAT,350.43,0.08,28.03,USD
TAX-ORD-1143,ORD-1143,2024-11-20,DE,VAT,171.68,0.19,32.62,EUR
DUTY-ORD-1143,ORD-1143,2024-11-20,DE,DUTY,171.68,0.05,8.58,EUR
TAX-ORD-1144,ORD-1144,2024-11-28,AU,VAT,134.38,0.1,13.44,AUD
TAX-ORD-1145,ORD-1145,2024-10-14,UK,VAT,279.48,0.2,55.9,GBP
DUTY-ORD-1145,ORD-1145,2024-10-14,UK,DUTY,279.48,0.05,13.97,GBP
TAX-ORD-1146,ORD-1146,2024-10-09,UK,VAT,292.38,0.2,58.48,GBP
TAX-ORD-1147,ORD-1147,2024-10-05,UK,VAT,84.36999999999999,0.2,16.87,GBP
DUTY-ORD-1147,ORD-1147,2024-10-05,UK,DUTY,84.36999999999999,0.05,4.22,GBP
TAX-ORD-1148,ORD-1148,2024-12-29,UK,VAT,345.62,0.2,69.12,GBP
TAX-ORD-1149,ORD-1149,2024-12-02,JP,VAT,149.5,0.1,14.95,JPY
DUTY-ORD-1149,ORD-1149,2024-12-02,JP,DUTY,149.5,0.12,17.94,JPY
TAX-ORD-1150,ORD-1150,2024-10-31,US,VAT,304.78,0.08,24.38,USD
TAX-ORD-1151,ORD-1151,2024-10-16,DE,VAT,82.13,0.19,15.6,EUR
DUTY-ORD-1151,ORD-1151,2024-10-16,DE,DUTY,82.13,0.12,9.86,EUR
TAX-ORD-1152,ORD-1152,2024-10-03,UK,VAT,445.47,0.2,89.09,GBP
DUTY-ORD-1152,ORD-1152,2024-10-03,UK,DUTY,445.47,0.12,53.46,GBP
TAX-ORD-1153,ORD-1153,2024-10-27,DE,VAT,139.37,0.19,26.48,EUR
DUTY-ORD-1153,ORD-1153,2024-10-27,DE,DUTY,139.37,0.05,6.97,EUR
TAX-ORD-1154,ORD-1154,2024-11-05,US,VAT,92.23,0.08,7.38,USD
TAX-ORD-1155,ORD-1155,2024-10-04,UK,VAT,344.07000000000005,0.2,68.81,GBP
DUTY-ORD-1155,ORD-1155,2024-10-04,UK,DUTY,344.07000000000005,0.12,41.29,GBP
TAX-ORD-1156,ORD-1156,2024-10-17,CA,VAT,308.44,0.13,40.1,CAD
DUTY-ORD-1156,ORD-1156,2024-10-17,CA,DUTY,308.44,0.08,24.68,CAD
TAX-ORD-1157,ORD-1157,2024-12-15,CA,VAT,475.44,0.13,61.81,CAD
TAX-ORD-1158,ORD-1158,2024-12-24,UK,VAT,483.81,0.2,96.76,GBP
DUTY-ORD-1158,ORD-1158,2024-12-24,UK,DUTY,483.81,0.05,24.19,GBP
TAX-ORD-1159,ORD-1159,2024-11-24,UK,VAT,459.37,0.2,91.87,GBP
DUTY-ORD-1159,ORD-1159,2024-11-24,UK,DUTY,459.37,0.12,55.12,GBP
TAX-ORD-1160,ORD-1160,2024-10-19,US,VAT,284.65,0.08,22.77,USD
TAX-ORD-1161,ORD-1161,2024-11-07,CA,VAT,94.63,0.13,12.3,CAD
DUTY-ORD-1161,ORD-1161,2024-11-07,CA,DUTY,94.63,0.12,11.36,CAD
TAX-ORD-1162,ORD-1162,2024-12-10,US,VAT,227.88,0.08,18.23,USD
TAX-ORD-1163,ORD-1163,2024-11-21,US,VAT,205.73,0.08,16.46,USD
TAX-ORD-1164,ORD-1164,2024-11-30,DE,VAT,91.95,0.19,17.47,EUR
TAX-ORD-1165,ORD-1165,2024-10-17,CA,VAT,257.29999999999995,0.13,33.45,CAD
DUTY-ORD-1165,ORD-1165,2024-10-17,CA,DUTY,257.29999999999995,0.12,30.88,CAD
TAX-ORD-1166,ORD-1166,2024-12-25,UK,VAT,462.13,0.2,92.43,GBP
DUTY-ORD-1166,ORD-1166,2024-12-25,UK,DUTY,462.13,0.12,55.46,GBP
TAX-ORD-1167,ORD-1167,2024-11-15,CA,VAT,95.69999999999999,0.13,12.44,CAD
TAX-ORD-1169,ORD-1169,2024-12-19,CA,VAT,52.540000000000006,0.13,6.83,CAD
TAX-ORD-1170,ORD-1170,2024-11-09,UK,VAT,118.47,0.2,23.69,GBP
DUTY-ORD-1170,ORD-1170,2024-11-09,UK,DUTY,118.47,0.08,9.48,GBP
TAX-ORD-1171,ORD-1171,2024-10-19,JP,VAT,82.16000000000001,0.1,8.22,JPY
DUTY-ORD-1171,ORD-1171,2024-10-19,JP,DUTY,82.16000000000001,0.08,6.57,JPY
TAX-ORD-1172,ORD-1172,2024-10-21,AU,VAT,399.58,0.1,39.96,AUD
TAX-ORD-1173,ORD-1173,2024-12-19,US,VAT,199.52,0.08,15.96,USD
TAX-ORD-1174,ORD-1174,2024-11-04,CA,VAT,205.33,0.13,26.69,CAD
DUTY-ORD-1174,ORD-1174,2024-11-04,CA,DUTY,205.33,0.05,10.27,CAD
TAX-ORD-1175,ORD-1175,2024-12-02,UK,VAT,149.23,0.2,29.85,GBP
DUTY-ORD-1175,ORD-1175,2024-12-02,UK,DUTY,149.23,0.08,11.94,GBP
TAX-ORD-1176,ORD-1176,2024-10-28,DE,VAT,180.25,0.19,34.25,EUR
TAX-ORD-1177,ORD-1177,2024-10-23,CA,VAT,130.52,0.13,16.97,CAD
DUTY-ORD-1177,ORD-1177,2024-10-23,CA,DUTY,130.52,0.12,15.66,CAD
TAX-ORD-1178,ORD-1178,2024-10-06,UK,VAT,72.28,0.2,14.46,GBP
DUTY-ORD-1178,ORD-1178,2024-10-06,UK,DUTY,72.28,0.05,3.61,GBP
TAX-ORD-1179,ORD-1179,2024-12-21,US,VAT,50.480000000000004,0.08,4.04,USD
TAX-ORD-1180,ORD-1180,2024-11-28,FR,VAT,89.66,0.2,17.93,EUR
DUTY-ORD-1180,ORD-1180,2024-11-28,FR,DUTY,89.66,0.12,10.76,EUR
TAX-ORD-1181,ORD-1181,2024-12-07,FR,VAT,347.05,0.2,69.41,EUR
DUTY-ORD-1181,ORD-1181,2024-12-07,FR,DUTY,347.05,0.08,27.76,EUR
TAX-ORD-1183,ORD-1183,2024-12-22,US,VAT,104.31,0.08,8.34,USD
TAX-ORD-1184,ORD-1184,2024-12-23,JP,VAT,266.06,0.1,26.61,JPY
DUTY-ORD-1184,ORD-1184,2024-12-23,JP,DUTY,266.06,0.12,31.93,JPY
TAX-ORD-1185,ORD-1185,2024-11-27,FR,VAT,288.45000000000005,0.2,57.69,EUR
DUTY-ORD-1185,ORD-1185,2024-11-27,FR,DUTY,288.45000000000005,0.05,14.42,EUR
TAX-ORD-1186,ORD-1186,2024-10-20,UK,VAT,284.0,0.2,56.8,GBP
TAX-ORD-1187,ORD-1187,2024-10-10,UK,VAT,64.25999999999999,0.2,12.85,GBP
TAX-ORD-1188,ORD-1188,2024-10-12,CA,VAT,258.22,0.13,33.57,CAD
DUTY-ORD-1188,ORD-1188,2024-10-12,CA,DUTY,258.22,0.05,12.91,CAD
TAX-ORD-1189,ORD-1189,2024-12-23,CA,VAT,275.62,0.13,35.83,CAD
DUTY-ORD-1189,ORD-1189,2024-12-23,CA,DUTY,275.62,0.12,33.07,CAD
TAX-ORD-1190,ORD-1190,2024-11-13,US,VAT,340.76,0.08,27.26,USD
TAX-ORD-1191,ORD-1191,2024-11-26,CA,VAT,181.69,0.13,23.62,CAD
DUTY-ORD-1191,ORD-1191,2024-11-26,CA,DUTY,181.69,0.12,21.8,CAD
TAX-ORD-1192,ORD-1192,2024-12-26,DE,VAT,341.29,0.19,64.85,EUR
DUTY-ORD-1192,ORD-1192,2024-12-26,DE,DUTY,341.29,0.05,17.06,EUR
TAX-ORD-1193,ORD-1193,2024-11-19,AU,VAT,310.9,0.1,31.09,AUD
