fulfillment_id,order_id,fulfillment_date,warehouse_cost,shipping_cost,customs_clearance_cost,total_fulfillment_cost
FUL-ORD-1031,ORD-1031,2024-10-05,3.46,24.04,6.28,33.78
FUL-ORD-1032,ORD-1032,2024-11-22,2.7,18.39,0.0,21.09
FUL-ORD-1033,ORD-1033,2024-12-01,4.7,14.72,9.51,28.93
FUL-ORD-1034,ORD-1034,2024-10-11,3.98,13.16,6.52,23.66
FUL-ORD-1035,ORD-1035,2024-12-08,3.09,11.57,9.28,23.939999999999998
FUL-ORD-1036,ORD-1036,2024-11-03,2.94,39.75,12.12,54.809999999999995
FUL-ORD-1037,ORD-1037,2024-12-17,3.31,22.86,6.34,32.51
FUL-ORD-1038,ORD-1038,2024-12-27,2.99,10.28,9.45,22.72
FUL-ORD-1039,ORD-1039,2024-12-15,3.46,12.31,0.0,15.77
FUL-ORD-1041,ORD-1041,2024-12-24,3.82,55.69,13.59,73.1
FUL-ORD-1042,ORD-1042,2024-10-18,4.67,29.01,12.34,46.019999999999996
FUL-ORD-1043,ORD-1043,2024-10-30,2.23,36.41,5.19,43.82999999999999
FUL-ORD-1044,ORD-1044,2024-10-15,3.89,47.22,10.79,61.9
FUL-ORD-1046,ORD-1046,2024-12-31,2.64,20.9,7.61,31.15
FUL-ORD-1047,ORD-1047,2024-11-17,3.42,20.93,8.66,33.010000000000005
FUL-ORD-1048,ORD-1048,2024-10-15,4.67,49.15,13.57,67.39
FUL-ORD-1050,ORD-1050,2024-11-25,3.39,16.45,8.97,28.810000000000002
FUL-ORD-1051,ORD-1051,2024-11-21,2.03,20.85,14.64,37.52
FUL-ORD-1053,ORD-1053,2024-11-06,4.05,53.68,6.4,64.13
FUL-ORD-1054,ORD-1054,2024-11-04,2.54,41.46,11.59,55.59
FUL-ORD-1055,ORD-1055,2024-11-11,4.21,20.01,8.59,32.81
FUL-ORD-1056,ORD-1056,2024-10-02,4.28,21.27,7.64,33.19
FUL-ORD-1057,ORD-1057,2024-12-27,2.13,33.11,14.08,49.32
FUL-ORD-1058,ORD-1058,2024-11-10,3.16,21.37,13.82,38.35
FUL-ORD-1059,ORD-1059,2024-11-21,4.94,23.93,12.04,40.91
FUL-ORD-1060,ORD-1060,2024-11-11,3.9,25.36,12.42,41.68
FUL-ORD-1061,ORD-1061,2024-10-30,3.63,30.43,11.54,45.6
FUL-ORD-1062,ORD-1062,2024-12-26,3.76,44.27,5.78,53.81
FUL-ORD-1064,ORD-1064,2024-12-15,3.13,19.14,10.16,32.43
FUL-ORD-1065,ORD-1065,2024-10-16,4.45,11.07,0.0,15.52
FUL-ORD-1067,ORD-1067,2024-12-20,4.66,34.56,13.82,53.04
FUL-ORD-1068,ORD-1068,2024-12-01,2.5,32.05,11.43,45.98
FUL-ORD-1069,ORD-1069,2024-12-21,2.45,17.29,11.02,30.759999999999998
FUL-ORD-1070,ORD-1070,2024-12-11,3.98,36.63,0.0,40.61
FUL-ORD-1071,ORD-1071,2024-11-23,4.16,25.34,9.79,39.29
FUL-ORD-1072,ORD-1072,2024-12-30,3.77,10.99,9.11,23.869999999999997
FUL-ORD-1073,ORD-1073,2024-11-22,2.13,30.6,6.61,39.34
FUL-ORD-1074,ORD-1074,2024-12-03,3.54,46.57,6.47,56.58
FUL-ORD-1075,ORD-1075,2024-10-20,2.77,11.22,14.58,28.57
FUL-ORD-1076,ORD-1076,2024-12-02,4.91,24.67,0.0,29.580000000000002
FUL-ORD-1077,ORD-1077,2024-11-19,4.18,33.45,14.47,52.1
FUL-ORD-1079,ORD-1079,2024-10-27,3.35,45.84,13.67,62.86000000000001
FUL-ORD-1080,ORD-1080,2024-10-29,2.66,39.29,0.0,41.95
FUL-ORD-1081,ORD-1081,2024-11-10,4.38,30.0,0.0,34.38
FUL-ORD-1082,ORD-1082,2024-10-13,3.87,44.26,6.68,54.809999999999995
FUL-ORD-1083,ORD-1083,2024-10-17,3.03,35.61,10.91,49.55
FUL-ORD-1084,ORD-1084,2024-12-25,3.13,22.31,5.17,30.61
FUL-ORD-1086,ORD-1086,2024-12-02,4.58,44.16,9.2,57.94
FUL-ORD-1087,ORD-1087,2024-10-15,3.82,19.68,14.02,37.519999999999996
FUL-ORD-1088,ORD-1088,2024-11-14,2.12,24.19,0.0,26.310000000000002
FUL-ORD-1089,ORD-1089,2024-11-08,4.26,30.91,11.59,46.760000000000005
FUL-ORD-1090,ORD-1090,2024-11-03,3.62,10.3,14.38,28.300000000000004
FUL-ORD-1091,ORD-1091,2024-12-29,3.95,27.32,8.7,39.97
FUL-ORD-1092,ORD-1092,2024-11-14,4.09,14.29,14.38,32.76
FUL-ORD-1093,ORD-1093,2024-10-19,4.37,17.55,10.89,32.81
FUL-ORD-1094,ORD-1094,2024-12-17,4.72,50.6,10.76,66.08
FUL-ORD-1095,ORD-1095,2024-11-17,2.4,11.68,0.0,14.08
FUL-ORD-1096,ORD-1096,2024-11-10,4.73,11.17,0.0,15.9
FUL-ORD-1098,ORD-1098,2024-10-18,4.63,15.33,6.89,26.85
FUL-ORD-1099,ORD-1099,2024-11-11,4.23,25.82,0.0,30.05
FUL-ORD-1101,ORD-1101,2024-11-12,2.35,36.1,0.0,38.45
FUL-ORD-1102,ORD-1102,2024-10-30,2.62,18.73,0.0,21.35
FUL-ORD-1103,ORD-1103,2024-12-31,3.09,31.54,0.0,34.629999999999995
FUL-ORD-1104,ORD-1104,2024-12-30,3.76,23.78,0.0,27.54
FUL-ORD-1105,ORD-1105,2024-12-24,3.27,15.52,0.0,18.79
FUL-ORD-1107,ORD-1107,2024-12-07,4.98,37.36,7.04,49.38
FUL-ORD-1108,ORD-1108,2024-10-07,4.35,49.54,8.7,62.59
FUL-ORD-1109,ORD-1109,2024-11-07,3.45,58.03,10.78,72.26
FUL-ORD-1110,ORD-1110,2024-12-15,3.19,19.59,13.64,36.42
FUL-ORD-1112,ORD-1112,2024-12-13,4.24,47.5,0.0,51.74
FUL-ORD-1113,ORD-1113,2024-12-08,4.85,21.22,0.0,26.07
FUL-ORD-1114,ORD-1114,2024-11-19,3.2,16.67,10.51,30.380000000000003
FUL-ORD-1115,ORD-1115,2024-11-09,4.05,29.8,8.89,42.74
FUL-ORD-1116,ORD-1116,2024-10-03,2.02,22.64,0.0,24.66
FUL-ORD-1117,ORD-1117,2024-10-22,3.42,27.95,5.88,37.25
FUL-ORD-1118,ORD-1118,2024-12-02,2.67,35.2,5.38,43.25000000000001
FUL-ORD-1119,ORD-1119,2024-11-25,4.79,20.26,11.56,36.61
FUL-ORD-1120,ORD-1120,2024-12-16,4.13,33.08,14.46,51.67
FUL-ORD-1121,ORD-1121,2024-12-13,3.92,47.74,7.02,58.68000000000001
FUL-ORD-1122,ORD-1122,2024-11-22,4.79,38.55,6.95,50.29
FUL-ORD-1123,ORD-1123,2024-11-22,3.53,32.78,11.15,47.46
FUL-ORD-1125,ORD-1125,2024-10-03,2.11,11.31,5.0,18.42
FUL-ORD-1127,ORD-1127,2024-11-21,2.26,39.87,8.99,51.12
FUL-ORD-1128,ORD-1128,2024-10-12,3.19,41.6,10.18,54.97
FUL-ORD-1130,ORD-1130,2024-10-09,4.11,19.14,0.0,23.25
FUL-ORD-1131,ORD-1131,2024-12-15,2.85,40.51,0.0,43.36
FUL-ORD-1134,ORD-1134,2024-11-11,3.04,22.12,7.77,32.93
FUL-ORD-1135,ORD-1135,2024-12-02,4.89,48.58,9.04,62.51
FUL-ORD-1136,ORD-1136,2024-12-25,2.78,44.26,0.0,47.04
FUL-ORD-1137,ORD-1137,2024-11-08,3.68,35.52,0.0,39.2
FUL-ORD-1139,ORD-1139,2024-12-25,4.84,45.25,14.57,64.66
FUL-ORD-1141,ORD-1141,2024-10-24,4.44,41.35,11.94,57.73
FUL-ORD-1142,ORD-1142,2024-10-17,3.69,50.39,0.0,54.08
FUL-ORD-1143,ORD-1143,2024-11-23,4.88,10.34,9.61,24.83
FUL-ORD-1145,ORD-1145,2024-10-16,4.59,46.2,7.58,58.370000000000005
FUL-ORD-1146,ORD-1146,2024-10-10,3.9,18.28,11.77,33.95
FUL-ORD-1147,ORD-1147,2024-10-08,4.4,24.42,8.53,37.35
FUL-ORD-1148,ORD-1148,2024-12-30,2.03,52.96,7.48,62.47
FUL-ORD-1149,ORD-1149,2024-12-05,3.2,21.03,8.42,32.65
FUL-ORD-1150,ORD-1150,2024-11-02,4.79,12.27,0.0,17.06
FUL-ORD-1151,ORD-1151,2024-10-19,2.66,36.97,6.83,46.459999999999994
FUL-ORD-1152,ORD-1152,2024-10-04,4.05,15.35,9.99,29.39
FUL-ORD-1153,ORD-1153,2024-10-28,2.7,36.18,7.65,46.53
FUL-ORD-1154,ORD-1154,2024-11-08,2.61,36.69,0.0,39.3
FUL-ORD-1155,ORD-1155,2024-10-05,3.07,12.12,6.2,21.39
FUL-ORD-1156,ORD-1156,2024-10-20,4.03,30.22,11.14,45.39
FUL-ORD-1158,ORD-1158,2024-12-26,4.87,58.63,8.71,72.21000000000001
FUL-ORD-1159,ORD-1159,2024-11-26,3.48,57.14,13.97,74.59
FUL-ORD-1160,ORD-1160,2024-10-22,3.47,31.35,0.0,34.82
FUL-ORD-1161,ORD-1161,2024-11-08,2.84,37.99,10.77,51.599999999999994
FUL-ORD-1162,ORD-1162,2024-12-13,3.58,25.54,0.0,29.119999999999997
FUL-ORD-1163,ORD-1163,2024-11-24,2.1,23.07,0.0,25.17
FUL-ORD-1164,ORD-1164,2024-12-03,4.33,38.93,6.2,49.46
FUL-ORD-1165,ORD-1165,2024-10-18,3.38,40.28,5.12,48.78
FUL-ORD-1166,ORD-1166,2024-12-27,3.14,39.01,8.62,50.769999999999996
FUL-ORD-1167,ORD-1167,2024-11-18,2.56,16.71,7.69,26.96
FUL-ORD-1169,ORD-1169,2024-12-21,3.03,9.4,9.24,21.67
FUL-ORD-1170,ORD-1170,2024-11-11,4.1,30.57,13.54,48.21
FUL-ORD-1171,ORD-1171,2024-10-22,3.35,25.93,14.79,44.07
FUL-ORD-1172,ORD-1172,2024-10-22,2.69,36.27,7.7,46.660000000000004
FUL-ORD-1173,ORD-1173,2024-12-20,3.67,34.66,0.0,38.33
FUL-ORD-1174,ORD-1174,2024-11-05,2.44,26.21,6.5,35.150000000000006
FUL-ORD-1175,ORD-1175,2024-12-05,2.53,10.3,14.96,27.79
FUL-ORD-1176,ORD-1176,2024-10-30,3.55,11.44,12.85,27.839999999999996
FUL-ORD-1178,ORD-1178,2024-10-07,2.75,38.96,5.48,47.19
FUL-ORD-1180,ORD-1180,2024-11-30,4.07,15.4,13.14,32.61
FUL-ORD-1181,ORD-1181,2024-12-09,4.52,18.61,12.45,35.58
FUL-ORD-1183,ORD-1183,2024-12-24,3.08,17.45,0.0,20.53
FUL-ORD-1184,ORD-1184,2024-12-26,3.03,38.41,8.51,49.949999999999996
FUL-ORD-1185,ORD-1185,2024-11-30,4.89,37.85,10.76,53.5
FUL-ORD-1186,ORD-1186,2024-10-22,3.62,41.73,7.85,53.199999999999996
FUL-ORD-1188,ORD-1188,2024-10-13,4.02,27.81,12.37,44.199999999999996
FUL-ORD-1189,ORD-1189,2024-12-24,3.14,25.03,11.32,39.49
FUL-ORD-1190,ORD-1190,2024-11-15,4.6,21.3,0.0,25.9
FUL-ORD-1191,ORD-1191,2024-11-27,3.27,26.93,9.05,39.25
FUL-ORD-1192,ORD-1192,2024-12-29,2.24,21.37,8.13,31.740000000000002
FUL-ORD-1193,ORD-1193,2024-11-21,2.87,20.63,11.45,34.95
FUL-ORD-1194,ORD-1194,2024-10-22,4.66,17.29,14.39,36.34
FUL-ORD-1195,ORD-1195,2024-10-12,3.76,45.37,9.14,58.269999999999996
FUL-ORD-1196,ORD-1196,2024-12-28,4.56,8.71,0.0,13.27
FUL-ORD-1197,ORD-1197,2024-10-29,3.99,19.77,12.01,35.769999999999996
FUL-ORD-1199,ORD-1199,2024-12-21,2.63,36.84,5.96,45.43000000000001
FUL-ORD-1200,ORD-1200,2024-11-18,3.65,30.6,0.0,34.25
FUL-ORD-1201,ORD-1201,2024-11-02,3.57,57.61,6.04,67.22
FUL-ORD-1202,ORD-1202,2024-12-28,2.47,44.3,13.85,60.62
FUL-ORD-1203,ORD-1203,2024-11-24,2.69,50.26,9.43,62.379999999999995
FUL-ORD-1204,ORD-1204,2024-12-04,2.39,25.02,5.29,32.7
FUL-ORD-1205,ORD-1205,2024-11-06,3.07,57.8,13.64,74.50999999999999
FUL-ORD-1206,ORD-1206,2024-11-29,4.92,30.69,7.72,43.33
FUL-ORD-1207,ORD-1207,2024-10-14,2.41,51.0,0.0,53.41
FUL-ORD-1208,ORD-1208,2024-11-09,2.53,29.3,11.31,43.14
FUL-ORD-1209,ORD-1209,2024-10-14,4.63,13.97,0.0,18.6
FUL-ORD-1210,ORD-1210,2024-11-10,3.92,11.33,0.0,15.25
FUL-ORD-1211,ORD-1211,2024-12-04,3.44,33.45,0.0,36.89
FUL-ORD-1212,ORD-1212,2024-10-03,3.33,28.86,0.0,32.19
FUL-ORD-1213,ORD-1213,2024-12-08,2.47,19.35,10.23,32.05
FUL-ORD-1214,ORD-1214,2024-12-23,3.03,40.9,5.08,49.01
FUL-ORD-1215,ORD-1215,2024-12-26,4.84,15.16,5.09,25.09
FUL-ORD-1216,ORD-1216,2024-11-14,4.39,51.63,0.0,56.02
FUL-ORD-1217,ORD-1217,2024-10-27,3.64,9.69,0.0,13.33
FUL-ORD-1218,ORD-1218,2024-10-29,3.31,43.36,12.15,58.82
FUL-ORD-1219,ORD-1219,2024-11-04,3.17,41.92,7.63,52.720000000000006
FUL-ORD-1220,ORD-1220,2024-10-19,3.88,46.16,13.0,63.04
FUL-ORD-1221,ORD-1221,2024-10-27,4.42,45.92,7.85,58.190000000000005
FUL-ORD-1222,ORD-1222,2024-10-12,3.6,20.2,6.88,30.68
FUL-ORD-1223,ORD-1223,2024-12-27,2.55,33.64,11.37,47.559999999999995
FUL-ORD-1225,ORD-1225,2024-10-10,3.36,52.94,9.92,66.22
FUL-ORD-1226,ORD-1226,2024-12-18,2.06,31.88,10.35,44.29
FUL-ORD-1227,ORD-1227,2024-11-20,4.92,42.74,0.0,47.660000000000004
FUL-ORD-1228,ORD-1228,2024-10-11,4.15,22.25,7.33,33.73
FUL-ORD-1229,ORD-1229,2024-10-26,2.04,35.2,9.2,46.44
FUL-ORD-1230,ORD-1230,2024-10-29,4.99,17.67,0.0,22.660000000000004
FUL-ORD-1233,ORD-1233,2024-12-30,2.99,57.89,14.52,75.4
FUL-ORD-1235,ORD-1235,2024-10-20,2.8,29.35,0.0,32.15
FUL-ORD-1236,ORD-1236,2024-12-15,3.41,24.23,13.42,41.06
FUL-ORD-1237,ORD-1237,2024-10-18,4.48,33.02,12.68,50.18
FUL-ORD-1238,ORD-1238,2024-12-05,3.15,27.42,0.0,30.57
FUL-ORD-1239,ORD-1239,2024-10-30,4.21,15.35,9.61,29.169999999999998
FUL-ORD-1240,ORD-1240,2024-12-13,3.56,37.36,9.73,50.650000000000006
FUL-ORD-1241,ORD-1241,2024-12-17,4.88,53.23,6.59,64.7
FUL-ORD-1242,ORD-1242,2024-10-06,2.13,43.92,10.21,56.260000000000005
FUL-ORD-1243,ORD-1243,2024-11-25,3.44,32.09,0.0,35.53
FUL-ORD-1244,ORD-1244,2024-11-02,4.66,44.37,7.18,56.21
FUL-ORD-1245,ORD-1245,2024-11-24,2.71,43.0,0.0,45.71
FUL-ORD-1246,ORD-1246,2024-11-15,2.5,20.21,0.0,22.71
FUL-ORD-1247,ORD-1247,2024-11-05,3.19,38.84,0.0,42.03
FUL-ORD-1248,ORD-1248,2024-10-22,3.74,44.38,11.88,60.00000000000001
FUL-ORD-1249,ORD-1249,2024-12-06,3.11,37.99,6.58,47.68
FUL-ORD-1250,ORD-1250,2024-11-03,4.06,31.16,14.7,49.92
FUL-ORD-1251,ORD-1251,2024-12-29,2.18,14.25,6.54,22.97
FUL-ORD-1252,ORD-1252,2024-11-19,4.37,19.92,7.33,31.620000000000005
FUL-ORD-1253,ORD-1253,2024-11-21,4.37,17.08,13.06,34.51
FUL-ORD-1254,ORD-1254,2024-11-20,4.2,13.66,8.78,26.64
FUL-ORD-1255,ORD-1255,2024-12-06,2.4,36.92,0.0,39.32
FUL-ORD-1256,ORD-1256,2024-12-07,4.12,51.08,10.43,65.63
FUL-ORD-1257,ORD-1257,2024-11-11,2.57,32.33,8.48,43.379999999999995
FUL-ORD-1258,ORD-1258,2024-10-06,3.41,49.58,10.99,63.98
FUL-ORD-1259,ORD-1259,2024-12-30,2.48,39.47,9.49,51.44
FUL-ORD-1260,ORD-1260,2024-10-25,3.62,15.55,12.76,31.93
FUL-ORD-1261,ORD-1261,2024-10-07,3.14,19.0,5.19,27.330000000000002
FUL-ORD-1262,ORD-1262,2024-12-31,4.33,39.05,12.21,55.589999999999996
FUL-ORD-1263,ORD-1263,2024-10-11,4.9,35.97,6.9,47.769999999999996
FUL-ORD-1264,ORD-1264,2024-10-25,3.49,35.29,11.13,49.910000000000004
FUL-ORD-1265,ORD-1265,2024-11-02,3.23,37.21,0.0,40.44
FUL-ORD-1266,ORD-1266,2024-12-29,3.57,16.86,13.35,33.78
FUL-ORD-1267,ORD-1267,2024-12-10,2.54,16.55,6.07,25.16
FUL-ORD-1268,ORD-1268,2024-10-14,2.3,19.22,13.36,34.879999999999995
FUL-ORD-1269,ORD-1269,2024-11-05,3.47,20.92,10.9,35.29
FUL-ORD-1270,ORD-1270,2024-12-08,3.1,40.75,0.0,43.85
FUL-ORD-1272,ORD-1272,2024-12-03,2.04,25.93,0.0,27.97
FUL-ORD-1273,ORD-1273,2024-10-13,3.47,55.59,0.0,59.06
FUL-ORD-1274,ORD-1274,2024-10-25,3.4,18.67,0.0,22.07
FUL-ORD-1275,ORD-1275,2024-11-09,3.67,57.47,0.0,61.14
FUL-ORD-1276,ORD-1276,2024-12-01,4.47,50.52,5.58,60.57
FUL-ORD-1277,ORD-1277,2024-10-27,2.8,29.84,5.7,38.34
FUL-ORD-1278,ORD-1278,2024-11-14,2.23,29.55,10.19,41.97
FUL-ORD-1279,ORD-1279,2024-11-24,4.18,17.68,6.89,28.75
FUL-ORD-1281,ORD-1281,2024-11-11,3.97,39.04,14.48,57.489999999999995
FUL-ORD-1282,ORD-1282,2024-10-17,4.25,36.02,0.0,40.27
FUL-ORD-1283,ORD-1283,2024-11-10,4.3,16.74,0.0,21.04
FUL-ORD-1284,ORD-1284,2024-12-18,3.38,43.82,13.83,61.03
FUL-ORD-1285,ORD-1285,2024-12-19,4.38,13.45,0.0,17.83
FUL-ORD-1287,ORD-1287,2024-11-29,3.01,38.1,0.0,41.11
FUL-ORD-1288,ORD-1288,2024-10-10,3.33,29.97,8.15,41.449999999999996
FUL-ORD-1289,ORD-1289,2024-11-12,4.53,31.69,11.33,47.55
FUL-ORD-1290,ORD-1290,2024-11-16,2.97,43.03,10.46,56.46
FUL-ORD-1292,ORD-1292,2024-11-29,4.3,43.84,7.54,55.68
FUL-ORD-1293,ORD-1293,2024-10-25,3.34,41.17,12.26,56.77
FUL-ORD-1294,ORD-1294,2024-11-10,3.79,43.32,14.93,62.04
FUL-ORD-1295,ORD-1295,2024-11-15,2.02,14.01,0.0,16.03
FUL-ORD-1296,ORD-1296,2024-12-21,4.57,9.66,13.22,27.450000000000003
FUL-ORD-1297,ORD-1297,2024-11-30,4.47,31.57,10.11,46.15
FUL-ORD-1300,ORD-1300,2024-12-26,4.78,28.99,5.38,39.15
FUL-ORD-1301,ORD-1301,2024-12-04,2.47,36.57,13.9,52.94
FUL-ORD-1302,ORD-1302,2024-11-24,2.7,22.69,0.0,25.39
FUL-ORD-1303,ORD-1303,2024-10-20,3.71,33.42,7.17,44.300000000000004
FUL-ORD-1304,ORD-1304,2024-11-04,4.17,50.31,6.73,61.21000000000001
FUL-ORD-1305,ORD-1305,2024-10-28,4.11,52.12,5.95,62.18
FUL-ORD-1307,ORD-1307,2024-10-29,2.9,51.96,10.76,65.62
FUL-ORD-1308,ORD-1308,2024-10-29,4.34,30.54,0.0,34.879999999999995
FUL-ORD-1310,ORD-1310,2024-12-01,3.04,30.77,9.17,42.980000000000004
FUL-ORD-1311,ORD-1311,2024-11-01,4.61,18.82,0.0,23.43
FUL-ORD-1312,ORD-1312,2024-11-02,4.55,24.65,11.34,40.54
FUL-ORD-1313,ORD-1313,2024-12-25,3.15,15.14,5.41,23.7
FUL-ORD-1314,ORD-1314,2024-12-03,3.69,28.28,11.98,43.95
FUL-ORD-1315,ORD-1315,2024-10-12,2.15,17.29,8.93,28.369999999999997
FUL-ORD-1316,ORD-1316,2024-10-10,4.26,12.89,0.0,17.15
FUL-ORD-1317,ORD-1317,2024-12-19,2.67,9.38,8.94,20.990000000000002
FUL-ORD-1319,ORD-1319,2024-10-17,3.01,42.09,12.45,57.55
FUL-ORD-1320,ORD-1320,2024-11-23,3.2,39.31,10.02,52.53
FUL-ORD-1321,ORD-1321,2024-12-30,2.39,11.23,0.0,13.620000000000001
FUL-ORD-1322,ORD-1322,2024-12-13,2.59,28.43,10.71,41.730000000000004
FUL-ORD-1324,ORD-1324,2024-12-29,3.85,41.78,7.46,53.09
FUL-ORD-1325,ORD-1325,2024-12-12,2.8,10.25,0.0,13.05
FUL-ORD-1326,ORD-1326,2024-10-21,4.77,17.47,11.72,33.96
FUL-ORD-1327,ORD-1327,2024-12-15,3.1,21.44,8.45,32.99
FUL-ORD-1328,ORD-1328,2024-12-31,2.07,12.54,14.88,29.490000000000002
FUL-ORD-1329,ORD-1329,2024-10-12,4.46,56.14,11.23,71.83
FUL-ORD-1330,ORD-1330,2024-12-23,2.13,37.23,7.0,46.36
FUL-ORD-1331,ORD-1331,2024-10-27,2.47,46.71,5.86,55.04
FUL-ORD-1332,ORD-1332,2024-10-13,2.16,48.46,14.27,64.89
FUL-ORD-1333,ORD-1333,2024-10-16,2.04,15.44,6.11,23.59
FUL-ORD-1334,ORD-1334,2024-11-26,3.41,12.44,12.4,28.25
FUL-ORD-1335,ORD-1335,2024-12-18,2.61,26.87,7.59,37.07
FUL-ORD-1336,ORD-1336,2024-12-14,3.87,46.63,11.95,62.45
FUL-ORD-1337,ORD-1337,2024-11-05,2.06,21.91,11.64,35.61
FUL-ORD-1338,ORD-1338,2024-10-13,2.77,26.33,7.01,36.11
FUL-ORD-1339,ORD-1339,2024-10-17,3.85,32.74,0.0,36.59
FUL-ORD-1340,ORD-1340,2024-11-15,4.84,17.25,11.6,33.69
FUL-ORD-1341,ORD-1341,2024-12-29,4.56,23.39,13.64,41.59
FUL-ORD-1342,ORD-1342,2024-12-04,2.88,50.84,8.87,62.59
FUL-ORD-1343,ORD-1343,2024-10-17,3.53,41.17,0.0,44.7
FUL-ORD-1344,ORD-1344,2024-11-30,3.45,44.84,0.0,48.290000000000006
FUL-ORD-1345,ORD-1345,2024-11-24,2.56,36.35,0.0,38.910000000000004
FUL-ORD-1347,ORD-1347,2024-12-29,3.68,15.91,0.0,19.59
FUL-ORD-1348,ORD-1348,2024-12-27,2.74,49.4,8.34,60.480000000000004
FUL-ORD-1349,ORD-1349,2024-11-28,4.23,21.14,0.0,25.37
FUL-ORD-1350,ORD-1350,2024-12-29,3.06,31.16,7.36,41.58
FUL-ORD-1351,ORD-1351,2024-10-13,2.83,18.53,7.58,28.939999999999998
FUL-ORD-1352,ORD-1352,2024-12-09,4.67,26.34,5.29,36.3
FUL-ORD-1353,ORD-1353,2024-10-17,4.85,40.72,8.42,53.99
FUL-ORD-1354,ORD-1354,2024-12-08,3.97,15.31,0.0,19.28
FUL-ORD-1355,ORD-1355,2024-10-27,3.56,30.47,13.73,47.760000000000005
FUL-ORD-1356,ORD-1356,2024-10-02,2.68,28.8,0.0,31.48
FUL-ORD-1357,ORD-1357,2024-12-10,3.28,33.37,11.05,47.7
FUL-ORD-1358,ORD-1358,2024-12-24,3.63,20.41,6.39,30.43
FUL-ORD-1359,ORD-1359,2024-12-22,4.05,31.39,6.38,41.82
FUL-ORD-1360,ORD-1360,2024-11-01,4.12,27.04,0.0,31.16
FUL-ORD-1361,ORD-1361,2024-11-22,3.29,38.78,12.7,54.769999999999996
FUL-ORD-1362,ORD-1362,2024-10-21,4.8,58.11,8.17,71.08
FUL-ORD-1363,ORD-1363,2024-10-26,3.6,29.25,6.84,39.69
FUL-ORD-1364,ORD-1364,2024-11-28,4.18,24.56,0.0,28.74
FUL-ORD-1365,ORD-1365,2024-12-11,4.88,28.84,12.46,46.18
FUL-ORD-1366,ORD-1366,2024-10-16,4.8,35.83,12.79,53.419999999999995
FUL-ORD-1368,ORD-1368,2024-11-30,2.39,31.3,14.86,48.55
FUL-ORD-1369,ORD-1369,2024-12-16,2.8,17.2,7.31,27.31
FUL-ORD-1370,ORD-1370,2024-10-29,2.69,25.85,5.79,34.330000000000005
FUL-ORD-1371,ORD-1371,2024-11-09,2.4,18.09,0.0,20.49
FUL-ORD-1372,ORD-1372,2024-11-24,4.14,35.66,13.52,53.31999999999999
FUL-ORD-1373,ORD-1373,2024-10-21,3.42,24.61,7.26,35.29
FUL-ORD-1374,ORD-1374,2024-11-06,4.29,19.79,7.7,31.779999999999998
FUL-ORD-1376,ORD-1376,2024-10-13,2.67,47.77,7.03,57.470000000000006
FUL-ORD-1377,ORD-1377,2024-11-23,2.2,27.81,14.86,44.87
FUL-ORD-1378,ORD-1378,2024-12-11,3.47,41.75,9.58,54.8
