order_id,order_date,channel,destination_country,currency,gross_sale_amount,discount_amount,shipping_fee,channel_fee,order_status
ORD-1029,2024-10-14,dtc_website,US,USD,251.88,50.38,8.67,5.84,completed
ORD-1030,2024-10-10,tiktok_shop,FR,EUR,297.65,0.0,18.04,23.81,completed
ORD-1031,2024-10-02,amazon,FR,EUR,431.91,43.19,13.13,58.31,completed
ORD-1032,2024-11-21,amazon,US,USD,50.97,10.19,10.3,6.12,completed
ORD-1033,2024-11-28,dtc_website,AU,AUD,378.73,75.75,8.1,8.79,completed
ORD-1034,2024-10-08,tiktok_shop,CA,CAD,386.59,0.0,6.0,30.93,completed
ORD-1035,2024-12-07,dtc_website,JP,JPY,86.05,8.61,6.37,2.25,completed
ORD-1036,2024-10-31,tiktok_shop,JP,JPY,306.35,0.0,17.39,24.51,completed
ORD-1037,2024-12-14,tiktok_shop,UK,GBP,167.34,25.1,9.77,11.38,completed
ORD-1038,2024-12-25,tiktok_shop,UK,GBP,468.06,0.0,5.19,37.44,completed
ORD-1039,2024-12-12,amazon,US,USD,145.92,21.89,7.65,18.6,completed
ORD-1040,2024-10-09,amazon,UK,GBP,120.99,18.15,17.23,15.43,cancelled
ORD-1041,2024-12-23,tiktok_shop,AU,AUD,299.57,0.0,23.78,23.97,completed
ORD-1042,2024-10-15,amazon,AU,AUD,119.95,17.99,17.1,15.29,completed
ORD-1043,2024-10-27,tiktok_shop,FR,EUR,277.43,41.61,23.11,18.87,completed
ORD-1044,2024-10-12,tiktok_shop,DE,EUR,69.84,10.48,20.42,4.75,completed
ORD-1045,2024-11-03,dtc_website,UK,GBP,367.55,0.0,7.24,10.66,refunded
ORD-1046,2024-12-28,amazon,CA,CAD,425.57,42.56,13.6,57.45,completed
ORD-1047,2024-11-16,amazon,DE,EUR,437.32,65.6,9.2,55.76,completed
ORD-1048,2024-10-14,dtc_website,CA,CAD,443.62,44.36,23.52,11.58,completed
ORD-1049,2024-10-21,amazon,DE,EUR,446.64,0.0,8.59,67.0,refunded
ORD-1050,2024-11-22,amazon,FR,EUR,414.84,62.23,8.18,52.89,completed
ORD-1051,2024-11-18,amazon,FR,EUR,150.1,30.02,11.99,18.01,completed
ORD-1052,2024-10-30,dtc_website,AU,AUD,229.31,34.4,22.29,5.65,cancelled
ORD-1053,2024-11-05,dtc_website,CA,CAD,355.78,53.37,23.78,8.77,completed
ORD-1054,2024-11-03,dtc_website,JP,JPY,169.46,0.0,16.93,4.91,completed
ORD-1055,2024-11-10,tiktok_shop,JP,JPY,102.04,10.2,10.09,7.35,completed
ORD-1056,2024-10-01,tiktok_shop,DE,EUR,359.09,35.91,12.28,25.85,completed
ORD-1057,2024-12-25,amazon,CA,CAD,348.52,0.0,19.4,52.28,completed
ORD-1058,2024-11-09,tiktok_shop,UK,GBP,363.74,36.37,8.84,26.19,completed
ORD-1059,2024-11-18,tiktok_shop,FR,EUR,326.98,49.05,13.12,22.23,completed
ORD-1060,2024-11-08,dtc_website,UK,GBP,310.99,46.65,14.3,7.67,completed
ORD-1061,2024-10-28,tiktok_shop,DE,EUR,481.92,48.19,18.18,34.7,completed
ORD-1062,2024-12-24,tiktok_shop,UK,GBP,418.29,41.83,18.46,30.12,completed
ORD-1063,2024-10-26,dtc_website,US,USD,492.77,0.0,14.11,14.29,refunded
ORD-1064,2024-12-13,dtc_website,AU,AUD,272.47,27.25,7.95,7.11,completed
ORD-1065,2024-10-14,amazon,US,USD,411.85,82.37,6.0,49.42,completed
ORD-1066,2024-10-16,tiktok_shop,DE,EUR,350.41,52.56,24.0,23.83,refunded
ORD-1067,2024-12-18,amazon,FR,EUR,242.03,48.41,22.94,29.04,completed
ORD-1068,2024-11-30,tiktok_shop,DE,EUR,427.94,64.19,20.32,29.1,completed
ORD-1069,2024-12-20,dtc_website,UK,GBP,371.1,37.11,10.43,9.69,completed
ORD-1070,2024-12-09,dtc_website,US,USD,222.37,22.24,19.13,5.8,completed
ORD-1071,2024-11-22,dtc_website,UK,GBP,78.02,15.6,12.79,1.81,completed
ORD-1072,2024-12-29,dtc_website,FR,EUR,309.06,61.81,5.12,7.17,completed
ORD-1073,2024-11-19,amazon,JP,JPY,238.56,23.86,14.76,32.2,completed
ORD-1074,2024-12-02,dtc_website,UK,GBP,355.61,71.12,19.48,8.25,completed
ORD-1075,2024-10-17,amazon,CA,CAD,458.12,0.0,6.68,68.72,completed
ORD-1076,2024-11-29,dtc_website,US,USD,197.31,39.46,11.54,4.58,completed
ORD-1077,2024-11-18,dtc_website,JP,JPY,239.7,0.0,14.41,6.95,completed
ORD-1078,2024-10-07,amazon,UK,GBP,342.56,0.0,20.08,51.38,refunded
ORD-1079,2024-10-26,amazon,CA,CAD,157.35,31.47,18.39,18.88,completed
ORD-1080,2024-10-28,tiktok_shop,US,USD,216.0,0.0,20.56,17.28,completed
ORD-1081,2024-11-09,dtc_website,US,USD,190.38,38.08,12.93,4.42,completed
ORD-1082,2024-10-10,tiktok_shop,DE,EUR,159.28,23.89,22.01,10.83,completed
ORD-1083,2024-10-16,amazon,CA,CAD,68.48,13.7,18.23,8.22,completed
ORD-1084,2024-12-22,dtc_website,DE,EUR,420.05,0.0,13.67,12.18,completed
ORD-1085,2024-11-28,tiktok_shop,UK,GBP,380.21,57.03,17.32,25.85,refunded
ORD-1086,2024-12-01,tiktok_shop,DE,EUR,316.61,47.49,22.03,21.53,completed
ORD-1087,2024-10-12,dtc_website,UK,GBP,387.71,77.54,11.73,8.99,completed
ORD-1088,2024-11-11,dtc_website,US,USD,409.02,61.35,10.59,10.08,completed
ORD-1089,2024-11-05,tiktok_shop,CA,CAD,135.98,13.6,19.4,9.79,completed
ORD-1090,2024-10-31,tiktok_shop,CA,CAD,270.87,0.0,6.86,21.67,completed
ORD-1091,2024-12-28,dtc_website,AU,AUD,216.06,32.41,13.51,5.33,completed
ORD-1092,2024-11-12,dtc_website,UK,GBP,187.98,18.8,7.41,4.91,completed
ORD-1093,2024-10-16,tiktok_shop,JP,JPY,360.57,36.06,9.33,25.96,completed
ORD-1094,2024-12-15,amazon,CA,CAD,177.35,0.0,21.65,26.6,completed
ORD-1095,2024-11-16,dtc_website,US,USD,290.36,43.55,5.91,7.16,completed
ORD-1096,2024-11-07,tiktok_shop,US,USD,440.81,88.16,7.05,28.21,completed
ORD-1097,2024-11-06,tiktok_shop,UK,GBP,132.96,0.0,10.05,10.64,refunded
ORD-1098,2024-10-15,amazon,UK,GBP,83.34,0.0,8.03,12.5,completed
ORD-1099,2024-11-08,dtc_website,US,USD,301.13,60.23,17.13,6.99,completed
ORD-1100,2024-10-29,amazon,UK,GBP,458.83,68.82,22.2,58.5,cancelled
ORD-1101,2024-11-09,tiktok_shop,US,USD,482.05,0.0,23.95,38.56,completed
ORD-1102,2024-10-28,dtc_website,US,USD,157.94,0.0,8.13,4.58,completed
ORD-1103,2024-12-28,tiktok_shop,US,USD,154.16,23.12,19.06,10.48,completed
ORD-1104,2024-12-27,dtc_website,US,USD,406.06,40.61,13.5,10.6,completed
ORD-1105,2024-12-22,dtc_website,US,USD,114.01,0.0,8.32,3.31,completed
ORD-1106,2024-12-12,amazon,UK,GBP,260.91,39.14,18.99,33.27,refunded
ORD-1107,2024-12-04,tiktok_shop,UK,GBP,319.12,63.82,19.69,20.42,completed
ORD-1108,2024-10-04,dtc_website,JP,JPY,426.18,0.0,24.99,12.36,completed
ORD-1109,2024-11-04,tiktok_shop,DE,EUR,128.84,25.77,23.32,8.25,completed
ORD-1110,2024-12-14,tiktok_shop,DE,EUR,486.07,97.21,11.96,31.11,completed
ORD-1111,2024-12-25,dtc_website,US,USD,235.24,47.05,10.76,5.46,refunded
ORD-1112,2024-12-10,dtc_website,US,USD,163.58,0.0,24.4,4.74,completed
ORD-1113,2024-12-05,amazon,US,USD,441.22,88.24,13.26,52.95,completed
ORD-1114,2024-11-16,tiktok_shop,UK,GBP,248.92,0.0,9.07,19.91,completed
ORD-1115,2024-11-06,tiktok_shop,AU,AUD,104.64,10.46,19.2,7.53,completed
ORD-1116,2024-10-02,tiktok_shop,US,USD,496.52,0.0,14.23,39.72,completed
ORD-1117,2024-10-20,tiktok_shop,AU,AUD,278.99,41.85,13.31,18.97,completed
ORD-1118,2024-11-30,dtc_website,CA,CAD,222.61,22.26,22.28,5.81,completed
ORD-1119,2024-11-23,dtc_website,DE,EUR,170.23,0.0,10.66,4.94,completed
ORD-1120,2024-12-15,tiktok_shop,AU,AUD,439.37,87.87,15.77,28.12,completed
ORD-1121,2024-12-10,amazon,UK,GBP,469.78,46.98,24.62,63.42,completed
ORD-1122,2024-11-19,dtc_website,DE,EUR,69.64,13.93,19.1,1.62,completed
ORD-1123,2024-11-19,amazon,DE,EUR,343.41,34.34,14.91,46.36,completed
ORD-1124,2024-12-04,amazon,UK,GBP,95.16,19.03,6.99,11.42,refunded
ORD-1125,2024-10-02,tiktok_shop,UK,GBP,344.65,34.46,6.5,24.82,completed
ORD-1126,2024-11-03,dtc_website,AU,AUD,342.43,51.36,22.05,8.44,refunded
ORD-1127,2024-11-18,amazon,CA,CAD,449.35,89.87,22.45,53.92,completed
ORD-1128,2024-10-09,dtc_website,AU,AUD,179.32,17.93,19.94,4.68,completed
ORD-1129,2024-10-13,amazon,AU,AUD,95.23,9.52,18.88,12.86,refunded
ORD-1130,2024-10-06,dtc_website,US,USD,211.31,42.26,7.91,4.9,completed
ORD-1131,2024-12-12,tiktok_shop,US,USD,128.78,25.76,17.39,8.24,completed
ORD-1132,2024-12-14,dtc_website,UK,GBP,164.29,24.64,18.34,4.05,refunded
ORD-1133,2024-11-29,amazon,AU,AUD,121.09,24.22,23.9,14.53,cancelled
ORD-1134,2024-11-08,tiktok_shop,UK,GBP,162.54,24.38,8.98,11.05,completed
ORD-1135,2024-12-01,dtc_website,UK,GBP,211.53,31.73,24.85,5.21,completed
ORD-1136,2024-12-24,dtc_website,US,USD,439.28,0.0,23.21,12.74,completed
ORD-1137,2024-11-06,amazon,US,USD,410.87,41.09,17.73,55.47,completed
ORD-1138,2024-12-26,amazon,DE,EUR,356.38,35.64,17.56,48.11,refunded
ORD-1139,2024-12-22,dtc_website,DE,EUR,65.01,9.75,19.65,1.6,completed
ORD-1140,2024-11-07,dtc_website,UK,GBP,140.36,21.05,15.62,3.46,refunded
ORD-1141,2024-10-22,dtc_website,DE,EUR,266.83,40.02,19.93,6.58,completed
ORD-1142,2024-10-15,tiktok_shop,US,USD,389.37,38.94,22.2,28.03,completed
ORD-1143,2024-11-20,amazon,DE,EUR,214.6,42.92,5.28,25.75,completed
ORD-1144,2024-11-28,dtc_website,AU,AUD,167.97,33.59,21.45,3.9,refunded
ORD-1145,2024-10-14,tiktok_shop,UK,GBP,328.8,49.32,23.31,22.36,completed
ORD-1146,2024-10-09,tiktok_shop,UK,GBP,365.48,73.1,7.33,23.39,completed
ORD-1147,2024-10-05,dtc_website,UK,GBP,93.74,9.37,12.77,2.45,completed
ORD-1148,2024-12-29,amazon,UK,GBP,384.02,38.4,22.71,51.84,completed
ORD-1149,2024-12-02,tiktok_shop,JP,JPY,175.88,26.38,9.35,11.96,completed
ORD-1150,2024-10-31,amazon,US,USD,358.56,53.78,6.21,45.72,completed
ORD-1151,2024-10-16,amazon,DE,EUR,91.25,9.12,17.83,12.32,completed
ORD-1152,2024-10-03,dtc_website,UK,GBP,494.97,49.5,6.37,12.92,completed
ORD-1153,2024-10-27,tiktok_shop,DE,EUR,154.85,15.48,20.77,11.15,completed
ORD-1154,2024-11-05,amazon,US,USD,108.5,16.27,20.97,13.83,completed
ORD-1155,2024-10-04,dtc_website,UK,GBP,404.79,60.72,5.32,9.98,completed
ORD-1156,2024-10-17,tiktok_shop,CA,CAD,385.55,77.11,13.97,24.68,completed
ORD-1157,2024-12-15,dtc_website,CA,CAD,475.44,0.0,19.54,13.79,refunded
ORD-1158,2024-12-24,tiktok_shop,UK,GBP,483.81,0.0,24.97,38.7,completed
ORD-1159,2024-11-24,tiktok_shop,UK,GBP,459.37,0.0,22.99,36.75,completed
ORD-1160,2024-10-19,dtc_website,US,USD,334.88,50.23,12.62,8.25,completed
ORD-1161,2024-11-07,tiktok_shop,CA,CAD,94.63,0.0,22.06,7.57,completed
ORD-1162,2024-12-10,tiktok_shop,US,USD,253.2,25.32,13.28,18.23,completed
ORD-1163,2024-11-21,tiktok_shop,US,USD,242.04,36.31,12.49,16.46,completed
ORD-1164,2024-11-30,dtc_website,DE,EUR,91.95,0.0,19.89,2.67,completed
ORD-1165,2024-10-17,tiktok_shop,CA,CAD,302.71,45.41,18.4,20.58,completed
ORD-1166,2024-12-25,amazon,UK,GBP,462.13,0.0,24.37,69.32,completed
ORD-1167,2024-11-15,dtc_website,CA,CAD,119.63,23.93,9.48,2.78,completed
ORD-1168,2024-12-11,dtc_website,DE,EUR,308.35,61.67,21.9,7.15,cancelled
ORD-1169,2024-12-19,tiktok_shop,CA,CAD,61.81,9.27,5.58,4.2,completed
ORD-1170,2024-11-09,amazon,UK,GBP,131.63,13.16,16.33,17.77,completed
ORD-1171,2024-10-19,tiktok_shop,JP,JPY,91.29,9.13,12.52,6.57,completed
ORD-1172,2024-10-21,dtc_website,AU,AUD,399.58,0.0,22.67,11.59,completed
ORD-1173,2024-12-19,dtc_website,US,USD,249.4,49.88,14.71,5.79,completed
ORD-1174,2024-11-04,dtc_website,CA,CAD,205.33,0.0,10.66,5.95,completed
ORD-1175,2024-12-02,tiktok_shop,UK,GBP,149.23,0.0,5.15,11.94,completed
ORD-1176,2024-10-28,amazon,DE,EUR,180.25,0.0,5.15,27.04,completed
ORD-1177,2024-10-23,dtc_website,CA,CAD,153.55,23.03,6.44,3.79,refunded
ORD-1178,2024-10-06,tiktok_shop,UK,GBP,85.04,12.76,16.52,5.78,completed
ORD-1179,2024-12-21,tiktok_shop,US,USD,59.39,8.91,8.44,4.04,refunded
ORD-1180,2024-11-28,amazon,FR,EUR,89.66,0.0,9.87,13.45,completed
ORD-1181,2024-12-07,dtc_website,FR,EUR,385.61,38.56,11.66,10.06,completed
ORD-1182,2024-12-05,tiktok_shop,CA,CAD,137.26,20.59,12.02,9.33,cancelled
ORD-1183,2024-12-22,amazon,US,USD,115.9,11.59,8.47,15.65,completed
ORD-1184,2024-12-23,dtc_website,JP,JPY,332.58,66.52,20.09,7.72,completed
ORD-1185,2024-11-27,tiktok_shop,FR,EUR,339.35,50.9,22.28,23.08,completed
ORD-1186,2024-10-20,tiktok_shop,UK,GBP,334.12,50.12,16.83,22.72,completed
ORD-1187,2024-10-10,dtc_website,UK,GBP,75.6,11.34,6.53,1.86,refunded
ORD-1188,2024-10-12,tiktok_shop,CA,CAD,258.22,0.0,13.99,20.66,completed
ORD-1189,2024-12-23,dtc_website,CA,CAD,275.62,0.0,14.01,7.99,completed
ORD-1190,2024-11-13,amazon,US,USD,340.76,0.0,9.95,51.11,completed
ORD-1191,2024-11-26,tiktok_shop,CA,CAD,213.75,32.06,12.75,14.54,completed
ORD-1192,2024-12-26,tiktok_shop,DE,EUR,341.29,0.0,11.59,27.3,completed
ORD-1193,2024-11-19,dtc_website,AU,AUD,345.45,34.55,11.67,9.02,completed
ORD-1194,2024-10-19,amazon,UK,GBP,345.22,69.04,7.58,41.43,completed
ORD-1195,2024-10-11,dtc_website,UK,GBP,406.25,40.62,18.4,10.6,completed
ORD-1196,2024-12-27,amazon,US,USD,351.71,52.76,5.36,44.84,completed
ORD-1197,2024-10-28,dtc_website,DE,EUR,136.4,13.64,8.1,3.56,completed
ORD-1198,2024-10-13,tiktok_shop,CA,CAD,382.39,0.0,18.24,30.59,refunded
ORD-1199,2024-12-19,dtc_website,UK,GBP,123.01,12.3,19.42,3.21,completed
ORD-1200,2024-11-16,tiktok_shop,US,USD,249.89,37.48,20.05,16.99,completed
ORD-1201,2024-10-30,tiktok_shop,UK,GBP,413.88,82.78,23.08,26.49,completed
ORD-1202,2024-12-26,amazon,JP,JPY,257.76,38.66,20.56,32.86,completed
ORD-1203,2024-11-23,amazon,DE,EUR,410.57,41.06,22.46,55.43,completed
ORD-1204,2024-12-01,amazon,CA,CAD,96.17,0.0,10.7,14.43,completed
ORD-1205,2024-11-04,tiktok_shop,CA,CAD,423.97,0.0,23.93,33.92,completed
ORD-1206,2024-11-27,amazon,JP,JPY,236.7,47.34,15.04,28.4,completed
ORD-1207,2024-10-11,dtc_website,US,USD,468.87,70.33,20.83,11.56,completed
ORD-1208,2024-11-06,amazon,UK,GBP,424.0,84.8,13.97,50.88,completed
ORD-1209,2024-10-11,dtc_website,US,USD,117.28,23.46,7.22,2.72,completed
ORD-1210,2024-11-08,dtc_website,US,USD,337.53,67.51,6.26,7.83,completed
ORD-1211,2024-12-03,tiktok_shop,US,USD,281.92,28.19,19.37,20.3,completed
ORD-1212,2024-10-01,tiktok_shop,US,USD,237.46,0.0,15.47,19.0,completed
ORD-1213,2024-12-07,tiktok_shop,DE,EUR,278.43,0.0,12.81,22.27,completed
ORD-1214,2024-12-21,dtc_website,UK,GBP,386.29,57.94,20.77,9.52,completed
ORD-1215,2024-12-24,tiktok_shop,DE,EUR,380.83,57.12,7.67,25.9,completed
ORD-1216,2024-11-13,amazon,US,USD,400.61,80.12,24.62,48.07,completed
ORD-1217,2024-10-24,amazon,US,USD,399.29,79.86,5.74,47.91,completed
ORD-1218,2024-10-26,amazon,UK,GBP,189.53,37.91,24.78,22.74,completed
ORD-1219,2024-11-02,dtc_website,CA,CAD,178.75,0.0,22.32,5.18,completed
ORD-1220,2024-10-16,amazon,UK,GBP,230.01,46.0,22.89,27.6,completed
ORD-1221,2024-10-24,tiktok_shop,UK,GBP,465.94,69.89,21.02,31.68,completed
ORD-1222,2024-10-11,tiktok_shop,JP,JPY,131.21,19.68,11.42,8.92,completed
ORD-1223,2024-12-24,dtc_website,UK,GBP,372.95,37.3,18.8,9.73,completed
ORD-1224,2024-10-06,tiktok_shop,FR,EUR,326.68,65.34,10.49,20.91,cancelled
ORD-1225,2024-10-08,dtc_website,CA,CAD,213.49,21.35,24.06,5.57,completed
ORD-1226,2024-12-17,tiktok_shop,UK,GBP,106.8,10.68,20.57,7.69,completed
ORD-1227,2024-11-19,amazon,US,USD,119.05,23.81,23.98,14.29,completed
ORD-1228,2024-10-10,tiktok_shop,CA,CAD,229.12,34.37,9.99,15.58,completed
ORD-1229,2024-10-24,tiktok_shop,UK,GBP,302.75,45.41,20.5,20.59,completed
ORD-1230,2024-10-28,amazon,US,USD,462.42,92.48,9.0,55.49,completed
ORD-1231,2024-10-10,tiktok_shop,FR,EUR,250.3,0.0,21.21,20.02,cancelled
ORD-1232,2024-11-10,tiktok_shop,AU,AUD,297.5,44.62,22.83,20.23,refunded
ORD-1233,2024-12-29,tiktok_shop,DE,EUR,278.94,0.0,24.7,22.32,completed
ORD-1234,2024-10-31,amazon,US,USD,299.31,44.9,14.35,38.16,cancelled
ORD-1235,2024-10-17,tiktok_shop,US,USD,189.18,37.84,15.51,12.11,completed
ORD-1236,2024-12-13,dtc_website,JP,JPY,339.05,67.81,14.32,7.87,completed
ORD-1237,2024-10-17,amazon,DE,EUR,337.91,33.79,20.36,45.62,completed
ORD-1238,2024-12-04,amazon,US,USD,105.87,10.59,11.08,14.29,completed
ORD-1239,2024-10-29,dtc_website,JP,JPY,452.72,0.0,10.01,13.13,completed
ORD-1240,2024-12-10,dtc_website,CA,CAD,326.49,0.0,15.05,9.47,completed
ORD-1241,2024-12-14,dtc_website,AU,AUD,374.28,56.14,21.85,9.23,completed
ORD-1242,2024-10-04,dtc_website,JP,JPY,396.96,59.54,18.02,9.79,completed
ORD-1243,2024-11-23,tiktok_shop,US,USD,450.05,67.51,17.84,30.6,completed
ORD-1244,2024-11-01,amazon,AU,AUD,183.85,0.0,18.77,27.58,completed
ORD-1245,2024-11-23,tiktok_shop,US,USD,323.0,48.45,22.23,21.96,completed
ORD-1246,2024-11-14,amazon,US,USD,216.74,0.0,11.38,32.51,completed
ORD-1247,2024-11-04,tiktok_shop,US,USD,72.77,14.55,22.28,4.66,completed
ORD-1248,2024-10-21,amazon,JP,JPY,374.51,37.45,20.26,50.56,completed
ORD-1249,2024-12-05,tiktok_shop,FR,EUR,273.82,0.0,23.9,21.91,completed
ORD-1250,2024-10-31,dtc_website,UK,GBP,72.74,14.55,16.95,1.69,completed
ORD-1251,2024-12-26,tiktok_shop,CA,CAD,431.23,86.25,7.68,27.6,completed
ORD-1252,2024-11-16,amazon,UK,GBP,230.26,23.03,12.25,31.08,completed
ORD-1253,2024-11-19,tiktok_shop,DE,EUR,175.87,0.0,7.57,14.07,completed
ORD-1254,2024-11-17,amazon,UK,GBP,472.53,47.25,8.98,63.79,completed
ORD-1255,2024-12-04,dtc_website,US,USD,371.12,74.22,15.39,8.61,completed
ORD-1256,2024-12-05,dtc_website,JP,JPY,193.34,38.67,24.81,4.49,completed
ORD-1257,2024-11-08,tiktok_shop,CA,CAD,279.37,55.87,19.17,17.88,completed
ORD-1258,2024-10-03,dtc_website,AU,AUD,490.95,73.64,20.94,12.1,completed
ORD-1259,2024-12-28,tiktok_shop,CA,CAD,169.49,16.95,19.43,12.2,completed
ORD-1260,2024-10-22,tiktok_shop,AU,AUD,398.57,79.71,7.96,25.51,completed
ORD-1261,2024-10-05,tiktok_shop,AU,AUD,135.85,27.17,11.27,8.69,completed
ORD-1262,2024-12-28,dtc_website,CA,CAD,325.17,65.03,22.46,7.54,completed
ORD-1263,2024-10-08,tiktok_shop,CA,CAD,302.4,60.48,15.51,19.35,completed
ORD-1264,2024-10-23,tiktok_shop,CA,CAD,295.82,44.37,17.2,20.12,completed
ORD-1265,2024-11-01,dtc_website,US,USD,473.67,71.05,20.42,11.68,completed
ORD-1266,2024-12-28,tiktok_shop,UK,GBP,206.96,31.04,10.76,14.07,completed
ORD-1267,2024-12-09,dtc_website,JP,JPY,418.27,41.83,10.81,10.92,completed
ORD-1268,2024-10-11,dtc_website,UK,GBP,165.4,33.08,9.28,3.84,completed
ORD-1269,2024-11-04,amazon,AU,AUD,111.77,11.18,9.85,15.09,completed
ORD-1270,2024-12-07,dtc_website,US,USD,95.09,14.26,19.35,2.34,completed
ORD-1271,2024-10-18,dtc_website,CA,CAD,468.09,93.62,18.06,10.86,refunded
ORD-1272,2024-11-30,tiktok_shop,US,USD,483.76,72.56,10.71,32.9,completed
ORD-1273,2024-10-12,tiktok_shop,US,USD,382.41,0.0,23.26,30.59,completed
ORD-1274,2024-10-23,amazon,US,USD,426.29,85.26,8.73,51.15,completed
ORD-1275,2024-11-07,amazon,US,USD,305.58,0.0,23.57,45.84,completed
ORD-1276,2024-11-28,amazon,CA,CAD,272.26,27.23,22.02,36.75,completed
ORD-1277,2024-10-25,amazon,UK,GBP,379.0,56.85,19.37,48.32,completed
ORD-1278,2024-11-13,amazon,CA,CAD,390.78,39.08,17.22,52.75,completed
ORD-1279,2024-11-21,amazon,CA,CAD,89.03,0.0,8.7,13.35,completed
ORD-1280,2024-11-11,amazon,US,USD,222.61,44.52,20.08,26.71,cancelled
ORD-1281,2024-11-08,tiktok_shop,CA,CAD,167.7,25.15,18.86,11.4,completed
ORD-1282,2024-10-16,tiktok_shop,US,USD,358.73,53.81,18.81,24.39,completed
ORD-1283,2024-11-07,dtc_website,US,USD,480.81,96.16,8.06,11.15,completed
ORD-1284,2024-12-17,dtc_website,AU,AUD,460.76,46.08,20.24,12.03,completed
ORD-1285,2024-12-16,amazon,US,USD,251.04,37.66,6.56,32.01,completed
ORD-1286,2024-10-08,amazon,FR,EUR,140.97,14.1,8.29,19.03,refunded
ORD-1287,2024-11-26,dtc_website,US,USD,312.42,0.0,22.98,9.06,completed
ORD-1288,2024-10-08,tiktok_shop,CA,CAD,255.56,0.0,16.18,20.44,completed
ORD-1289,2024-11-09,tiktok_shop,UK,GBP,417.4,41.74,16.57,30.05,completed
ORD-1290,2024-11-14,tiktok_shop,CA,CAD,77.12,0.0,24.72,6.17,completed
ORD-1291,2024-11-06,tiktok_shop,DE,EUR,394.62,78.92,12.49,25.26,refunded
ORD-1292,2024-11-27,amazon,FR,EUR,219.04,21.9,18.07,29.57,completed
ORD-1293,2024-10-23,amazon,UK,GBP,107.31,10.73,21.7,14.49,completed
ORD-1294,2024-11-08,tiktok_shop,AU,AUD,240.86,48.17,21.47,15.42,completed
ORD-1295,2024-11-14,dtc_website,US,USD,443.84,0.0,5.64,12.87,completed
ORD-1296,2024-12-18,amazon,FR,EUR,57.04,5.7,6.35,7.7,completed
ORD-1297,2024-11-27,tiktok_shop,AU,AUD,71.9,0.0,13.05,5.75,completed
ORD-1298,2024-10-28,amazon,DE,EUR,113.06,16.96,9.68,14.41,refunded
ORD-1299,2024-12-13,dtc_website,CA,CAD,352.64,52.9,9.74,8.69,refunded
ORD-1300,2024-12-24,tiktok_shop,UK,GBP,173.82,17.38,17.52,12.52,completed
ORD-1301,2024-12-03,dtc_website,UK,GBP,339.49,67.9,20.72,7.88,completed
ORD-1302,2024-11-23,tiktok_shop,US,USD,132.75,26.55,9.82,8.5,completed
